id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source,augmentation_group,intent_d1_mismatch_flag,boundary_t12_flag,boundary_t23_flag,original_row_flag
v4_t3_phase2_style_040,"Prepare a architecture recommendation for multi-cloud resilience. It must synthesize regional failover, compliance evidence, cost tradeoffs, operating ownership. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""cloud_infrastructure"", ""regulatory_compliance"", ""finops""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_task_classification_001,"For a cloud workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_002,"For a security workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_003,"For a finance workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_004,"For a customer support workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_005,"For a data governance workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_006,"For a HR workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_007,"For a DevOps workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_classification_008,"For a vendor management workflow, Classify each item into predefined labels and provide a one-line rationale. Keep the output compact but complete.",FACTUAL,classification,False,0.25,0.5,0.25,0.0,0.25,0.2625,T1,low,,[],,False,task_classification,,,V4_TASK_CLASSIFICATION,,,aug_v4,task_classification,False,False,False,False
v4_task_coding_009,"For a cloud workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_010,"For a security workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_011,"For a finance workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_012,"For a customer support workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_013,"For a data governance workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_014,"For a HR workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_015,"For a DevOps workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_coding_016,"For a vendor management workflow, Write Python code with tests to validate the payload and return structured errors. Keep the output compact but complete.",ANALYTICAL,coding,True,0.5,0.75,0.75,0.0,0.5,0.525,T2,medium,,[],,False,task_coding,,,V4_TASK_CODING,,,aug_v4,task_coding,False,False,False,False
v4_task_summarisation_017,"For a cloud workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_018,"For a security workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_019,"For a finance workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_020,"For a customer support workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_021,"For a data governance workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_022,"For a HR workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_023,"For a DevOps workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_summarisation_024,"For a vendor management workflow, Summarize the packet into executive bullets, root causes, impact, and actions. Keep the output compact but complete.",ANALYTICAL,summarisation,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_summarisation,,,V4_TASK_SUMMARISATION,,,aug_v4,task_summarisation,False,False,False,False
v4_task_formatting_025,"For a cloud workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_026,"For a security workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_027,"For a finance workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_028,"For a customer support workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_029,"For a data governance workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_030,"For a HR workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_031,"For a DevOps workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_formatting_032,"For a vendor management workflow, Convert messy notes into strict YAML with owners, dates, commands, rollback, and validation checks. Keep the output compact but complete.",ANALYTICAL,formatting,True,0.5,0.5,0.75,0.0,0.75,0.5,T2,medium,,[],,False,task_formatting,,,V4_TASK_FORMATTING,,,aug_v4,task_formatting,False,False,False,False
v4_task_sparql_generation_033,"For a cloud workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_034,"For a security workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_035,"For a finance workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_036,"For a customer support workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_037,"For a data governance workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_038,"For a HR workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_039,"For a DevOps workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
v4_task_sparql_generation_040,"For a vendor management workflow, Generate SPARQL queries for an ontology of systems, owners, controls, risks, and evidence. Keep the output compact but complete.",ANALYTICAL,sparql_generation,True,0.5,1.0,0.75,0.0,0.5,0.575,T2,medium,,[],,False,task_sparql_generation,,,V4_TASK_SPARQL,,,aug_v4,task_sparql_generation,False,False,False,False
