prompt,use_case,prompt_complexity,clarity,old_prompt_complexity,complexity_reason,label_source
"A queue has 15 people. Every 5 minutes, 3 people are served and 2 new people join. How many people are in the queue after 20 minutes? Track the queue state at each 5-minute interval.",reasoning,mid,CLEAR,low,Requires tracking queue state over multiple intervals with arrivals and departures; involves iterative calculation and state tracking but conceptually straightforward.,openai:gpt-4.1-mini
A recipe calls for 2 cups of flour to make 12 cookies. How many cups of flour are needed to make 30 cookies? Show the proportion calculation step by step.,reasoning,low,CLEAR,low,Simple proportion calculation with step-by-step explanation; straightforward arithmetic.,openai:gpt-4.1-mini
"A rectangle has a length that is 3 times its width. If the perimeter of the rectangle is 48 cm, what are the dimensions of the rectangle? Walk through your reasoning clearly.",reasoning,low,CLEAR,low,Basic algebraic problem involving perimeter and ratio; single-step reasoning.,openai:gpt-4.1-mini
A rectangular box has dimensions 8cm by 5cm by 6cm. A second box has all dimensions scaled by a factor of 1.5. How do the surface areas compare? How do the volumes compare? Explain why volume scales by a cube factor while area scales by a square factor.,reasoning,mid,CLEAR,mid,Requires comparison of surface area and volume scaling with explanation of geometric scaling laws; involves conceptual understanding and multiple related calculations.,openai:gpt-4.1-mini
"A rectangular garden is 12m by 8m. A path 1.5m wide runs around the outside of the garden. What is the area of the path alone? If paving costs $35 per square metre, what is the total cost? Now if the path width doubles, by what factor does the path area increase? Reason through each part.",reasoning,mid,CLEAR,mid,"Multi-part problem involving area calculation, cost computation, and reasoning about scaling effects; requires several meaningful steps but straightforward math.",openai:gpt-4.1-mini
"A right-angled triangle has a hypotenuse of 17cm. One leg is 3cm longer than the other. Find both leg lengths. Set up the quadratic using the Pythagorean theorem and solve it, explaining each step including why one solution is rejected.",reasoning,mid,CLEAR,mid,"Requires setting up and solving a quadratic equation with explanation and reasoning about rejecting one solution, involving multiple reasoning steps but straightforward math.",openai:gpt-4.1-mini
"A robotics engineer is programming a path-planning algorithm for a robot in a 2D grid with obstacles. The grid is 10×10. The robot starts at (0,0) and must reach (9,9). Obstacles occupy cells: (2,3), (3,3), (4,3), (5,5), (5,6), (7,2), (7,3). (1) Apply the A* algorithm using Manhattan distance as the heuristic. Trace the open and closed sets for the first 6 iterations. (2) Compare A* with Dijkstra's algorithm for this problem — when does each perform better? (3) Explain what makes the Manhattan distance heuristic admissible in this context.",reasoning,high,CLEAR,high,"Involves applying A* algorithm step-by-step with tracing, comparing algorithms, and explaining heuristic admissibility, requiring deep understanding and multi-part reasoning.",openai:gpt-4.1-mini
"A sale reduces a jacket from $120 to $84. What percentage discount is this? If another jacket is discounted by 35% from $160, which jacket has the lower final price? Reason through both.",reasoning,low,CLEAR,low,"Simple percentage calculation and comparison of final prices, straightforward arithmetic and reasoning.",openai:gpt-4.1-mini
"A salesperson earns a base salary of $2,500 per month plus 3% commission on sales up to $50,000 and 5% on any sales above $50,000. In a month where they sell $74,000, what is their total earnings? Compare this to a flat 4% commission on all sales and determine which structure benefits the salesperson more at this sales level.",reasoning,mid,CLEAR,mid,"Calculates earnings with piecewise commission rates and compares with flat rate, involving multiple steps and comparison reasoning.",openai:gpt-4.1-mini
"A school records test scores for 3 classes. Class A: mean 72, 30 students. Class B: mean 78, 25 students. Class C: mean 81, 20 students. What is the combined weighted mean score across all three classes? Explain why a simple average of the three means would give the wrong answer.",reasoning,mid,CLEAR,mid,"Computes weighted mean from multiple classes and explains why simple average is incorrect, requiring understanding of weighted averages and explanation.",openai:gpt-4.1-mini
"A school running track is an oval with two straight sections of 80m each and two semicircular ends. The diameter of each semicircular end is 50m. What is the total length of one lap? If a student runs 10 laps in 18 minutes, what is their average speed in km/h? Show all geometry and unit conversion steps.",reasoning,mid,CLEAR,mid,"Geometry calculation of oval track length plus unit conversion and speed calculation, involving multiple steps but standard formulas.",openai:gpt-4.1-mini
A security researcher is analysing a buffer overflow vulnerability in a C program. The vulnerable function copies user input into a fixed-size stack buffer without bounds checking. (1) Explain step by step how a stack-based buffer overflow can overwrite the return address. (2) Describe how a return-to-libc attack works as a non-executable stack bypass. (3) Explain Address Space Layout Randomisation (ASLR) and stack canaries as mitigations and their limitations. (4) Write pseudocode for a safe version of the vulnerable function using bounded copy and explain each defensive measure.,reasoning,high,CLEAR,high,"Multi-part prompt covering detailed security concepts, attack mechanisms, mitigations, and writing secure pseudocode, requiring advanced technical knowledge and multi-step reasoning.",openai:gpt-4.1-mini
"A shop buys goods for $40 and sells them for $56. What is the percentage profit? If the shop wants a 40% profit margin, what should the selling price be? Explain your reasoning for both.",reasoning,low,CLEAR,low,"Basic percentage profit calculation and price determination with explanation, straightforward arithmetic and reasoning.",openai:gpt-4.1-mini
"A signal processing engineer is analysing a discrete-time signal x[n] = cos(0.2πn) + 0.5·sin(0.6πn). (1) Identify the frequencies of each component in normalised form and in Hz if the sampling rate is 1000 Hz. (2) Determine the Nyquist frequency and confirm no aliasing occurs. (3) Design a simple FIR low-pass filter that would pass the first component and attenuate the second. Specify the cutoff frequency and explain the window method conceptually. (4) Show what the DFT magnitude spectrum would look like qualitatively, identifying peak locations.",reasoning,high,CLEAR,high,"Signal processing analysis including frequency identification, Nyquist frequency, filter design with window method, and DFT spectrum interpretation, requiring advanced domain knowledge and multiple complex steps.",openai:gpt-4.1-mini
"A software architect is designing a distributed key-value store that must satisfy the following requirements: (1) handle 100,000 reads per second and 20,000 writes per second, (2) guarantee 99.99% uptime, (3) support horizontal scaling, (4) tolerate up to 2 simultaneous node failures, (5) maintain eventual consistency with read-your-writes guarantee for individual sessions. Design the full architecture: data partitioning strategy, replication model, consistency mechanism, failure detection, and a write path trace end-to-end. Explain every design decision and its trade-off.",reasoning,high,CLEAR,high,"Designing a distributed key-value store architecture with multiple stringent requirements, detailed design decisions, trade-offs, and end-to-end trace, involving complex system design and reasoning.",openai:gpt-4.1-mini
"A startup is growing fast but the unit economics seem off. Figure out what's going wrong and model a path to profitability. The company has a SaaS product, around 3,000 customers, and is spending heavily on paid acquisition. Use whatever financial reasoning frameworks are appropriate and show your working.",reasoning,high,CLEAR,high,"Requires multi-step financial reasoning, modeling unit economics, identifying issues, and projecting profitability using appropriate frameworks, involving complex business analysis.",openai:gpt-4.1-mini
"A statistician is analysing a dataset to test whether the mean of a population differs from a hypothesised value. Sample: n=36, x̄=74.2, s=9.6, hypothesised μ₀=71. (1) Conduct a two-tailed t-test at α=0.05. State H₀ and H₁, compute the t-statistic, find the critical value, and state your conclusion. (2) Calculate the 95% confidence interval for the true mean. (3) Calculate the p-value and explain what it means. (4) Compute the required sample size to detect a true difference of 3 units with 80% power at α=0.05.",reasoning,high,CLEAR,high,"Involves multiple statistical hypothesis testing steps including t-test, confidence interval, p-value interpretation, and power/sample size calculation, requiring advanced statistical knowledge and multi-step calculations.",openai:gpt-4.1-mini
A store has a loyalty programme: every 5th purchase gets 20% off. A customer makes 13 purchases at an average price of $45. How much did the customer save in total through the loyalty discount? How much would they have saved if the discount applied every 4th purchase instead? Compare and explain.,reasoning,mid,CLEAR,mid,"Requires calculation of discounts over multiple purchases with different conditions and comparison, involving moderate reasoning and multiple steps but straightforward arithmetic.",openai:gpt-4.1-mini
"A store sells apples for $1.20 each and oranges for $0.80 each. If Sarah buys 5 apples and 3 oranges, how much does she spend in total? Now if she has $10, how much change does she receive? Explain each step.",reasoning,low,CLEAR,low,Simple arithmetic calculations with clear steps and minimal reasoning.,openai:gpt-4.1-mini
A structural engineer is analysing a simply supported beam of length 8 metres carrying a uniformly distributed load of 12 kN/m and a point load of 40 kN at 3 metres from the left support. (1) Calculate the reaction forces at both supports using equilibrium equations. (2) Draw the shear force diagram by computing shear values at key sections. (3) Draw the bending moment diagram and identify the location and magnitude of maximum bending moment. Show all free body diagram reasoning and sign conventions.,reasoning,high,CLEAR,high,"Involves structural engineering analysis including equilibrium equations, shear force and bending moment diagrams, free body diagrams, and sign conventions, requiring advanced domain knowledge and multi-step technical reasoning.",openai:gpt-4.1-mini
"A student must pass at least 4 of 6 subjects to advance. Probability of passing each subject is: 0.9, 0.85, 0.7, 0.75, 0.8, 0.65. Assuming independence, calculate the probability of passing exactly 4 subjects. Explain why exact calculation here is complex and outline the combinatorial approach needed.",reasoning,mid,CLEAR,mid,"Requires probability calculation of exact outcomes with multiple independent events and explanation of combinatorial complexity, involving moderate reasoning and combinatorial understanding.",openai:gpt-4.1-mini
"A student scores 72, 85, 91, 68, and 79 on five tests. What is the average score? What score does the student need on the sixth test to bring the average to 80? Show step-by-step reasoning.",reasoning,low,CLEAR,low,"Basic arithmetic average calculation and simple algebraic reasoning to find required score, straightforward and minimal steps.",openai:gpt-4.1-mini
"A supply chain analyst is solving the following assignment problem using the Hungarian algorithm. Four workers (W1–W4) are assigned to four tasks (T1–T4). Cost matrix: W1=[9,2,7,8], W2=[6,4,3,7], W3=[5,8,1,8], W4=[7,6,9,4]. (1) Apply row and column reduction. (2) Cover zeros with minimum lines. (3) Iterate until an optimal assignment is found. (4) State the optimal assignment and total minimum cost. Show every tableau step.",reasoning,high,CLEAR,high,"Requires step-by-step application of the Hungarian algorithm including matrix reductions, covering zeros, iterations, and final assignment, involving complex algorithmic procedure and detailed explanation.",openai:gpt-4.1-mini
"A supply chain manager models demand using a normal distribution with μ=500 units/week and σ=60 units/week. Lead time is 2 weeks (constant). The holding cost is $2/unit/week and the stockout cost is $25/unit. (1) Calculate the reorder point for a 95% service level. (2) Calculate the safety stock. (3) Calculate the economic order quantity (EOQ) if ordering cost is $150 per order and annual demand is 26,000 units. (4) Determine the reorder point when lead time itself is also variable with mean 2 weeks and standard deviation 0.5 weeks.",reasoning,high,CLEAR,high,"Multiple inventory management calculations including reorder point, safety stock, EOQ, and handling variable lead time, requiring advanced quantitative reasoning and integration of statistical and operational concepts.",openai:gpt-4.1-mini
"A survey of 200 people finds that 120 own a car, 90 own a bicycle, and 40 own both. Using set logic, find how many own only a car, only a bicycle, only both, and neither. Then calculate what percentage of car owners also own a bicycle. Show the Venn diagram reasoning in written form.",reasoning,mid,CLEAR,mid,"Set theory problem involving Venn diagram reasoning, multiple category calculations, and percentage computations, requiring moderate logical reasoning and explanation.",openai:gpt-4.1-mini
A swimming pool is being filled by two pipes. Pipe A fills the pool in 6 hours. Pipe B fills the pool in 4 hours. How long does it take to fill the pool if both pipes are open? Show the rate-based reasoning.,reasoning,low,CLEAR,low,The problem involves straightforward rate-based reasoning with simple arithmetic to find combined filling time.,openai:gpt-4.1-mini
A tank holds 500 litres. It has a leak that drains 5 litres per hour. A pipe fills it at 12 litres per hour. The tank currently has 200 litres. How long until the tank is full? Show the net rate reasoning.,reasoning,low,CLEAR,low,Basic net rate calculation with simple arithmetic to find time until tank is full.,openai:gpt-4.1-mini
"A tank is 3/5 full. After removing 45 litres it is 2/5 full. What is the full capacity of the tank? If water is now added at 9 litres per minute and removed at 4 litres per minute simultaneously, how long until the tank overflows from its current 2/5 level? Show both parts.",reasoning,mid,CLEAR,mid,"Requires solving for tank capacity from fractional levels and then reasoning about simultaneous inflow and outflow rates to find overflow time, involving multiple steps.",openai:gpt-4.1-mini
"A tank is 40% full of water. After adding 120 litres, it is 70% full. What is the total capacity of the tank? Show your algebraic reasoning step by step.",reasoning,low,CLEAR,low,Simple algebraic reasoning to find total capacity from percentage and volume added.,openai:gpt-4.1-mini
"A thermodynamics engineer analyses a Carnot cycle. The working fluid operates between a high-temperature reservoir at 600K and a low-temperature reservoir at 300K. The heat absorbed from the hot reservoir is 800 kJ. (1) Calculate the maximum theoretical efficiency. (2) Calculate the work output and heat rejected. (3) If the actual cycle efficiency is 38%, calculate the irreversibility (exergy destruction) per cycle. (4) Explain why no real engine can exceed Carnot efficiency and connect your answer to the second law of thermodynamics.",reasoning,high,CLEAR,high,"Multi-part thermodynamics problem involving efficiency calculations, exergy destruction, and conceptual explanation tied to the second law, requiring advanced domain knowledge and multi-step reasoning.",openai:gpt-4.1-mini
"A train 150 metres long travels at 90 km/h. How long does it take to completely pass through a tunnel that is 600 metres long? Now if a second train 200 metres long travels in the opposite direction at 70 km/h, how long do the trains take to completely pass each other? Show the distance and relative speed reasoning for both.",reasoning,mid,CLEAR,mid,"Two-part problem involving distance and relative speed reasoning for passing through a tunnel and passing each other, requiring multiple steps but straightforward physics concepts.",openai:gpt-4.1-mini
"A virus spreads such that each infected person infects 2 others every day. Starting from 1 infected person, after how many days will over 10,000 people be infected? Show the geometric progression and compare it to a scenario where each person infects 3 others — how many fewer days does the faster spread take?",reasoning,mid,CLEAR,mid,"Geometric progression reasoning with comparison between two infection rates, requiring exponential growth understanding and comparative analysis.",openai:gpt-4.1-mini
A worker completes 1/3 of a project on day one and 1/4 of the remaining project on day two. What fraction of the total project is left after day two? Work through the fractions step by step.,reasoning,low,CLEAR,low,"Simple fraction arithmetic to find remaining project fraction after two days, straightforward step-by-step calculation.",openai:gpt-4.1-mini
Add one to integer array digits,code-generation,low,CLEAR,low,"Basic coding task to increment an integer represented as an array of digits, a common simple algorithm.",openai:gpt-4.1-mini
Add two binary strings,code-generation,low,CLEAR,low,"Simple coding task to add two binary strings, a standard algorithmic problem with direct implementation.",openai:gpt-4.1-mini
"An economist is modelling consumer demand. The demand function is Qd = 800 − 4P and the supply function is Qs = 2P − 100. (1) Find the equilibrium price and quantity algebraically. (2) Calculate price elasticity of demand at the equilibrium point. (3) The government imposes a specific tax of $15 per unit on producers. Find the new equilibrium, the price paid by consumers, the price received by producers, total tax revenue, and the deadweight loss. Draw and annotate each step in your reasoning.",reasoning,mid,CLEAR,high,"Requires algebraic equilibrium calculation, elasticity computation, tax impact analysis, and reasoning with economic concepts, but all are standard steps without system design.",openai:gpt-4.1-mini
"An employee's salary is first decreased by 20% due to budget cuts, then later increased by 25% as a reward. What is the net percentage change from the original salary? Most people guess this is a 5% gain — show precisely why they are wrong and what the correct answer is.",reasoning,low,CLEAR,mid,Simple percentage change calculation with explanation of common misconception; straightforward reasoning.,openai:gpt-4.1-mini
"An environmental engineer is designing a water treatment plant. Influent flow rate: 15,000 m³/day. BOD influent: 250 mg/L, target effluent BOD: 20 mg/L. (1) Calculate the BOD removal efficiency required. (2) Size a completely mixed activated sludge reactor using the following parameters: μmax=0.3 day⁻¹, Ks=60 mg/L, Y=0.5, kd=0.05 day⁻¹. Calculate the minimum SRT and the design SRT at a safety factor of 2.5. (3) Calculate the reactor volume. (4) Calculate the daily sludge production in kg VSS/day. Show all biological kinetics equations.",reasoning,high,CLEAR,high,"Involves multiple engineering calculations including biological kinetics, reactor sizing, safety factors, and sludge production, requiring domain knowledge and multi-step technical reasoning.",openai:gpt-4.1-mini
"An escalator moves upward at a rate of 1 step per second. A person walking up the escalator takes 2 steps per second relative to the escalator. The escalator has 60 steps. How long does it take the person to reach the top? Now if the escalator breaks and stops, how long does it take? Compare and explain.",reasoning,mid,CLEAR,mid,"Requires reasoning about relative speeds and time calculations under two scenarios, with comparison and explanation; moderate multi-step reasoning.",openai:gpt-4.1-mini
An investor wants to understand whether a mid-size logistics company is a good acquisition target. There's decent revenue but margins are thin and the market is getting more competitive. Apply whatever valuation and strategic reasoning you think is appropriate and highlight the 3 most important uncertainties.,reasoning,high,PARTIAL,high,Open-ended strategic and valuation reasoning with identification of key uncertainties; requires complex judgment and multi-faceted analysis.,openai:gpt-4.1-mini
"An item costs $240 wholesale. A retailer marks it up by 40%, then offers a 15% promotional discount on the marked-up price. A customer also has a loyalty voucher giving a further $10 off. What is the final price? What is the effective percentage change from the original wholesale price? Show every step.",reasoning,low,CLEAR,mid,"Basic arithmetic with percentage markup, discount, and voucher application; straightforward stepwise calculation.",openai:gpt-4.1-mini
An office uses 500 sheets of paper per week. A ream contains 500 sheets and costs $6. How much does the office spend on paper in a year? Show your unit conversion and multiplication steps.,reasoning,low,CLEAR,low,Simple unit conversion and multiplication to find annual cost; direct factual calculation.,openai:gpt-4.1-mini
"An operations researcher is applying the simplex method to the following LP problem. Maximise Z = 5x₁ + 4x₂ subject to: 6x₁ + 4x₂ ≤ 24, x₁ + 2x₂ ≤ 6, x₁ ≥ 0, x₂ ≥ 0. (1) Convert to standard form with slack variables. (2) Set up the initial simplex tableau. (3) Perform all pivot operations showing entering and leaving variables at each iteration. (4) State the optimal solution and value of Z. (5) Interpret the shadow prices of the binding constraints.",reasoning,high,CLEAR,high,"Full simplex method application including standard form conversion, tableau setup, pivot operations, optimal solution, and shadow price interpretation; complex multi-step mathematical procedure.",openai:gpt-4.1-mini
Analyse the situation and tell me what to do next.,reasoning,low,UNCLEAR,high,Vague prompt with no specific task or constraints; cannot infer complexity beyond minimal.,openai:gpt-4.1-mini
"Analyse the trade-offs in this system design. We have high read volume, some writes, and need it to stay up. We've been debating SQL vs NoSQL and monolith vs microservices. Walk through the reasoning and give a recommendation with the key assumptions stated.",reasoning,high,CLEAR,high,"System design trade-off analysis involving multiple architectural choices, assumptions, and recommendations; requires advanced reasoning and broad solution scope.",openai:gpt-4.1-mini
Apply flood fill algorithm on grid,text-generation,mid,CLEAR,low,"Applying flood fill algorithm requires implementing a known algorithm with some reasoning about grid traversal, but is a standard coding task.",openai:gpt-4.1-mini
"Arrange the following fractions in ascending order: 3/4, 2/3, 5/8, 7/10. Show the method used to compare them and explain why a common denominator or decimal conversion makes this reliable.",reasoning,mid,CLEAR,low,"Requires multiple steps of reasoning: arranging fractions, showing method, and explaining reliability of approaches.",openai:gpt-4.1-mini
Best time to buy and sell stock for maximum profit,code-generation,mid,CLEAR,low,"Classic coding problem requiring an efficient algorithm to find max profit from stock prices, involves some reasoning but bounded scope.",openai:gpt-4.1-mini
Build a CI/CD pipeline orchestrator in Python that reads a YAML pipeline config executes stages sequentially or in parallel streams logs handles failures and reports status to a webhook.,code-generation,high,PARTIAL,high,"Building a CI/CD pipeline orchestrator with YAML parsing, execution control (sequential/parallel), logging, failure handling, and webhook reporting is a complex system design task.",openai:gpt-4.1-mini
Build a class that manages some objects and has methods to add and remove them.,code-generation,low,PARTIAL,mid,Simple class with add/remove methods managing objects is a basic coding task with minimal complexity.,openai:gpt-4.1-mini
Build a code execution sandbox in Python that accepts arbitrary Python snippets via an API runs them in a Docker container with CPU and memory limits captures output and errors and returns results within a timeout.,code-generation,high,CLEAR,high,"Building a secure code execution sandbox with API, Docker containerization, resource limits, output capture, error handling, and timeout involves complex system design and security considerations.",openai:gpt-4.1-mini
Build a dashboard for sales with charts and export support.,text-generation,mid,PARTIAL,low,Building a sales dashboard with charts and export support involves multiple UI components and features but is a moderate complexity task.,openai:gpt-4.1-mini
Build a feature flag service in Python with a REST API for managing flags support for percentage rollouts and user segment targeting a client SDK that evaluates flags locally from a cached ruleset and an audit log.,code-generation,high,PARTIAL,high,"Building a feature flag service with REST API, percentage rollouts, user targeting, client SDK, caching, and audit log is a complex multi-component system design.",openai:gpt-4.1-mini
Build a function that validates some form of user input.,code-generation,low,PARTIAL,mid,Building a function to validate user input is a straightforward coding task with minimal complexity.,openai:gpt-4.1-mini
Build a job scheduling system in Python similar to cron that parses cron expressions schedules jobs in a thread pool handles missed executions and persists job state to survive restarts.,code-generation,high,CLEAR,high,"Building a job scheduling system like cron with parsing, scheduling, thread pool, missed execution handling, and persistence is a complex system design task.",openai:gpt-4.1-mini
Build a load balancer in Python that distributes HTTP requests across multiple backend servers using weighted round-robin performs health checks every N seconds and removes unhealthy backends automatically.,code-generation,high,CLEAR,high,"Requires building a load balancer with weighted round-robin, health checks, and automatic removal of unhealthy backends, involving system design and multiple interacting components.",openai:gpt-4.1-mini
Build a rate-limiting middleware system in Python that supports per-user and per-endpoint limits uses a sliding window algorithm stored in Redis and returns appropriate 429 responses with retry-after headers.,code-generation,high,PARTIAL,high,"Involves building a rate-limiting middleware with per-user and per-endpoint limits, sliding window algorithm, Redis integration, and correct HTTP response handling, requiring complex multi-step reasoning and system design.",openai:gpt-4.1-mini
Build a reactive state management library in Python inspired by Redux with a central store pure reducer functions middleware support for async actions and a subscription mechanism for state change notifications.,code-generation,high,CLEAR,high,"Building a reactive state management library inspired by Redux with central store, pure reducers, middleware for async actions, and subscription mechanism involves advanced design and multiple interacting components.",openai:gpt-4.1-mini
Build a real-time anomaly detection pipeline in Python that ingests a stream of numeric metrics uses a sliding window z-score algorithm to flag anomalies and sends alerts via a webhook when thresholds are breached.,code-generation,mid,CLEAR,high,"Requires building a real-time anomaly detection pipeline with streaming ingestion, sliding window z-score algorithm, and webhook alerts, involving moderate reasoning and multiple steps but bounded scope.",openai:gpt-4.1-mini
Build a real-time collaborative document editing backend in Node.js using WebSockets supporting multiple simultaneous users conflict resolution using operational transforms and persistent storage in MongoDB.,code-generation,high,CLEAR,high,"Building a real-time collaborative document editing backend with WebSockets, multi-user support, conflict resolution via operational transforms, and persistent storage is complex system design with multiple interacting components.",openai:gpt-4.1-mini
Build a real-time data processing system that ingests some events and does some analysis on them.,code-generation,low,PARTIAL,high,"The prompt is vague and simple, asking to build a real-time data processing system that ingests events and does some analysis, implying a straightforward basic implementation.",openai:gpt-4.1-mini
Build a real-time fraud detection system in Python that ingests transaction events via Kafka evaluates each transaction against a set of configurable rules and ML model scores and flags suspicious ones with reasons.,code-generation,high,PARTIAL,high,"Building a real-time fraud detection system with Kafka ingestion, configurable rules, ML model scoring, and flagging suspicious transactions with reasons involves complex multi-step reasoning and system design.",openai:gpt-4.1-mini
Build a real-time leaderboard system using Redis sorted sets supporting score updates rank queries paginated top-N retrieval and a WebSocket server that pushes live rank changes to connected clients.,code-generation,high,CLEAR,high,"Building a real-time leaderboard with Redis sorted sets, score updates, rank queries, pagination, and WebSocket live updates requires advanced design and multiple interacting components.",openai:gpt-4.1-mini
Build a scalable backend system that handles high traffic with some caching and load distribution.,code-generation,mid,PARTIAL,high,"Building a scalable backend with high traffic handling, caching, and load distribution involves moderate system design and constraint handling but is less detailed.",openai:gpt-4.1-mini
Build a self-healing distributed system in Python where nodes monitor each other via heartbeats elect a leader using the Raft consensus algorithm and automatically rebalance responsibilities when a node joins or leaves.,code-generation,high,PARTIAL,high,"Building a self-healing distributed system with node monitoring, leader election via Raft consensus, and automatic rebalancing involves complex distributed system design and advanced multi-step reasoning.",openai:gpt-4.1-mini
Build a semantic search system using Python that encodes documents with a sentence transformer model stores embeddings in a vector database and retrieves the top-k most semantically similar documents for a query.,code-generation,mid,PARTIAL,high,"Requires building a semantic search system involving document encoding, vector database storage, and retrieval logic, which involves multiple components but is a bounded coding task.",openai:gpt-4.1-mini
Build a streaming data processing engine in Python that supports a pipeline of operators filter map aggregate join on infinite data streams with configurable window sizes and watermark-based late data handling.,code-generation,high,CLEAR,high,"Building a streaming data processing engine with multiple operators, infinite streams, windowing, and watermark handling is a complex system design and implementation task.",openai:gpt-4.1-mini
Build an API gateway in Python that handles routing to multiple backend microservices request/response transformation authentication via JWT request aggregation for composite endpoints and OpenAPI spec generation.,code-generation,high,PARTIAL,high,"Building an API gateway with routing, request/response transformation, JWT authentication, aggregation, and OpenAPI spec generation involves complex multi-component system design and integration.",openai:gpt-4.1-mini
Build an intelligent system that learns from data and makes some decisions automatically.,code-generation,high,PARTIAL,high,"Building an intelligent system that learns from data and makes decisions automatically is a broad, complex task requiring advanced design and implementation.",openai:gpt-4.1-mini
Build me something complex that works at scale.,code-generation,high,UNCLEAR,high,Vague request to build something complex that works at scale implies a complex system design with scalability considerations and no clear boundaries.,openai:gpt-4.1-mini
Build something that processes large datasets efficiently with some pipeline architecture.,code-generation,mid,PARTIAL,high,Building a pipeline architecture to process large datasets efficiently requires moderate design and implementation complexity but is bounded.,openai:gpt-4.1-mini
Check if a string is a palindrome ignoring non-alphanumeric,code-generation,low,CLEAR,low,Simple function to check if a string is a palindrome ignoring non-alphanumeric characters is a straightforward coding task.,openai:gpt-4.1-mini
Check if array contains duplicates,code-generation,low,CLEAR,low,Checking if an array contains duplicates is a basic coding problem with simple logic.,openai:gpt-4.1-mini
Check if binary tree is symmetric,code-generation,low,CLEAR,low,Checking if a binary tree is symmetric is a standard coding problem with straightforward recursive or iterative solution.,openai:gpt-4.1-mini
Check if linked list is palindrome,code-generation,low,CLEAR,low,Checking if a linked list is palindrome is a common coding problem with a simple algorithmic solution.,openai:gpt-4.1-mini
Check if strings are isomorphic,code-generation,low,CLEAR,low,"Simple direct check for isomorphic strings, a straightforward coding task with basic logic.",openai:gpt-4.1-mini
Check if two binary trees are identical,code-generation,low,CLEAR,low,"Basic tree comparison to check identical structure and values, a standard coding problem with simple recursion.",openai:gpt-4.1-mini
Check if two strings are anagrams,text-generation,low,CLEAR,low,"Direct check for anagrams, a simple string manipulation task with minimal complexity.",openai:gpt-4.1-mini
Compute average of levels in binary tree,code-generation,mid,CLEAR,low,"Requires traversal of binary tree and computation of averages per level, involving multiple steps and data aggregation.",openai:gpt-4.1-mini
Compute integer square root using binary search,code-generation,mid,CLEAR,low,Implementing integer square root using binary search involves algorithmic logic and careful boundary handling.,openai:gpt-4.1-mini
Compute range sum in BST,code-generation,mid,CLEAR,low,"Computing range sum in BST requires traversal with conditional logic, moderate complexity.",openai:gpt-4.1-mini
Compute running sum of array,code-generation,low,CLEAR,low,Computing running sum of array is a straightforward cumulative sum calculation.,openai:gpt-4.1-mini
Construct ransom note from magazine,code-generation,low,CLEAR,low,Constructing ransom note from magazine is a direct frequency count and comparison task.,openai:gpt-4.1-mini
Count nodes in complete binary tree,code-generation,mid,CLEAR,low,Counting nodes in complete binary tree requires understanding tree properties and efficient traversal.,openai:gpt-4.1-mini
Count number of islands in grid,text-generation,mid,CLEAR,low,Counting number of islands in grid involves graph traversal (DFS/BFS) and multiple steps of reasoning.,openai:gpt-4.1-mini
Count ways to climb stairs with 1 or 2 steps,code-generation,low,CLEAR,low,"Simple code task to count ways to climb stairs with 1 or 2 steps, a classic straightforward algorithm problem.",openai:gpt-4.1-mini
Create a blog-style explanation of digital privacy for beginners with examples,text-generation,mid,CLEAR,mid,Writing a blog-style explanation with examples requires moderate reasoning and formatting to be clear and engaging.,openai:gpt-4.1-mini
Create a brief message inviting a friend to your birthday party with time and location included,text-generation,low,CLEAR,low,Simple text generation task to create a brief invitation message with basic details.,openai:gpt-4.1-mini
Create a caching system for some type of function.,code-generation,high,PARTIAL,mid,"Designing a caching system involves system-level design and implementation considerations, making it complex.",openai:gpt-4.1-mini
Create a comprehensive guide describing how to resolve conflicts between stakeholders with opposing priorities using structured negotiation frameworks,text-generation,high,CLEAR,high,Creating a comprehensive guide on resolving conflicts with structured negotiation frameworks requires deep coverage and complex reasoning.,openai:gpt-4.1-mini
Create a detailed explanation showing how resource constraints reshape solution strategies in complex systems with examples,text-generation,high,PARTIAL,high,Detailed explanation of how resource constraints reshape strategies in complex systems involves advanced reasoning and examples.,openai:gpt-4.1-mini
Create a detailed guide explaining how relaxing constraints changes feasible solution spaces,text-generation,high,PARTIAL,high,Detailed guide on how relaxing constraints changes feasible solution spaces requires complex reasoning about solution spaces.,openai:gpt-4.1-mini
Create a detailed report analyzing how optimizing for one metric can degrade overall system performance,text-generation,high,CLEAR,high,Detailed report analyzing tradeoffs in system performance involves complex multi-step reasoning and analysis.,openai:gpt-4.1-mini
Create a guide explaining how to manage time effectively in a busy schedule,text-generation,mid,CLEAR,mid,Guide on managing time effectively requires moderate reasoning and structuring but is a common topic.,openai:gpt-4.1-mini
Create a guide for managing time,text-generation,low,PARTIAL,mid,"Simple guide creation with minimal detail or constraints, straightforward text generation.",openai:gpt-4.1-mini
Create a guide on managing conflicts in projects,text-generation,mid,PARTIAL,high,"Requires creating a guide which involves multiple steps and some reasoning about conflict management, but no advanced constraints or system design.",openai:gpt-4.1-mini
Create a message about anything,text-generation,low,UNCLEAR,low,Very open-ended and simple message creation with no constraints or complexity.,openai:gpt-4.1-mini
Create a message about meeting someone,text-generation,low,UNCLEAR,low,"Simple message creation about meeting someone, straightforward and minimal reasoning.",openai:gpt-4.1-mini
