id,prompt,use_case,clarity,created_at
263,Three friends split a restaurant bill equally. The bill is $87 before tip. They leave a 15% tip. What does each person pay in total? Show your reasoning at each stage.,reasoning,CLEAR,2026-03-26 16:05:05.472008+00
264,"If it takes 4 workers 6 days to complete a task, how many days would it take 8 workers to complete the same task, assuming everyone works at the same rate? Explain the logic behind your answer.",reasoning,CLEAR,2026-03-26 16:05:05.670134+00
265,"A car travels 150 km in 2.5 hours. What is the average speed in km/h? If it continues at that speed, how long will it take to travel another 90 km? Show your reasoning.",reasoning,CLEAR,2026-03-26 16:06:01.737289+00
266,"In a class of 30 students, 18 play football and 14 play basketball. 6 students play both sports. How many students play neither sport? Use logical set reasoning to explain your answer.",reasoning,CLEAR,2026-03-26 16:06:01.944076+00
267,"A tank is 40% full of water. After adding 120 litres, it is 70% full. What is the total capacity of the tank? Show your algebraic reasoning step by step.",reasoning,CLEAR,2026-03-26 16:06:02.150723+00
268,"If all squares are rectangles, and all rectangles are quadrilaterals, is every square a quadrilateral? Is every quadrilateral a square? Explain the difference in reasoning for each question.",reasoning,CLEAR,2026-03-26 16:06:02.521521+00
269,A bookshelf has 5 shelves. Each shelf holds 24 books. Currently 87 books are on the shelf. How many more books can fit? Is there enough space for 40 more books? Reason through both questions.,reasoning,CLEAR,2026-03-26 16:06:02.711992+00
270,Maria earns $18 per hour and works 40 hours per week. She receives a 12% pay rise. What is her new hourly rate and her new weekly earnings? Show each calculation step.,reasoning,CLEAR,2026-03-26 16:07:17.99406+00
271,"A shop buys goods for $40 and sells them for $56. What is the percentage profit? If the shop wants a 40% profit margin, what should the selling price be? Explain your reasoning for both.",reasoning,CLEAR,2026-03-26 16:07:18.210021+00
272,A swimming pool is being filled by two pipes. Pipe A fills the pool in 6 hours. Pipe B fills the pool in 4 hours. How long does it take to fill the pool if both pipes are open? Show the rate-based reasoning.,reasoning,CLEAR,2026-03-26 16:07:18.392179+00
273,"In a sequence: 3, 7, 15, 31, 63, what is the next number? Identify the pattern and explain the rule governing the sequence before giving your answer.",reasoning,CLEAR,2026-03-26 16:07:18.588201+00
274,"John says: if it rains, the ground gets wet. The ground is wet. John concludes it must have rained. Identify whether this is valid deductive reasoning and explain any flaws in the argument.",reasoning,CLEAR,2026-03-26 16:07:18.780852+00
275,"A number is divided by 4, then 12 is added, and the result is 20. What is the original number? Work backwards step by step, explaining each inverse operation.",reasoning,CLEAR,2026-03-26 16:08:21.360344+00
276,Two candles are each 30 cm tall. Candle A burns at 3 cm per hour. Candle B burns at 5 cm per hour. After how many hours will Candle B be exactly half the height of Candle A? Show your reasoning.,reasoning,CLEAR,2026-03-26 16:08:21.596613+00
277,A bag contains only red and blue balls. The ratio of red to blue is 3:5. There are 24 red balls. How many blue balls are there and what is the total number of balls? Explain the ratio reasoning.,reasoning,CLEAR,2026-03-26 16:08:21.784909+00
278,"If a product's price increases by 20% and then decreases by 20%, is the final price the same as the original? Show numerically why or why not, and explain the general principle.",reasoning,CLEAR,2026-03-26 16:08:21.988333+00
279,"A person walks north for 3 km, then east for 4 km. How far are they from their starting point in a straight line? Which geometric principle applies and why?",reasoning,CLEAR,2026-03-26 16:08:22.172928+00
280,Create a thank-you message for receiving help during a difficult situation,text-generation,CLEAR,2026-03-26 16:09:10.741986+00
281,Write a short explanation of why planning ahead is useful,text-generation,CLEAR,2026-03-26 16:09:11.099896+00
282,Generate a paragraph about the importance of regular exercise,text-generation,CLEAR,2026-03-26 16:09:11.508781+00
283,Write a description of a festival celebration in your area,text-generation,CLEAR,2026-03-26 16:09:11.81815+00
284,Create a short note reminding someone to complete a task today,text-generation,CLEAR,2026-03-26 16:09:12.133898+00
285,Write a message inviting someone somewhere,text-generation,PARTIAL,2026-03-26 16:12:13.654822+00
286,Create a paragraph about something you enjoy,text-generation,PARTIAL,2026-03-26 16:12:13.994973+00
287,Write a short explanation about something helpful,text-generation,PARTIAL,2026-03-26 16:12:14.614867+00
288,Generate a story about something happening,text-generation,PARTIAL,2026-03-26 16:12:14.864962+00
289,Write a paragraph about something nice,text-generation,PARTIAL,2026-03-26 16:12:15.154958+00
290,Create a simple note about something,text-generation,PARTIAL,2026-03-26 16:23:24.042037+00
291,Write a message about a plan,text-generation,PARTIAL,2026-03-26 16:23:24.672671+00
292,Generate a paragraph about something good,text-generation,PARTIAL,2026-03-26 16:23:25.143219+00
293,Write a short explanation about something,text-generation,PARTIAL,2026-03-26 16:23:25.609213+00
294,Create a paragraph about something,text-generation,PARTIAL,2026-03-26 16:23:26.011238+00
295,Write anything,text-generation,UNCLEAR,2026-03-26 16:26:00.18757+00
296,Create any message,text-generation,UNCLEAR,2026-03-26 16:26:00.472846+00
297,Write any story,text-generation,UNCLEAR,2026-03-26 16:26:00.853484+00
298,Generate any paragraph,text-generation,UNCLEAR,2026-03-26 16:26:01.168877+00
299,Write something without topic,text-generation,UNCLEAR,2026-03-26 16:26:01.568067+00
300,"A logistics company operates 3 warehouses (W1, W2, W3) serving 5 cities. Weekly demand (units): City A=400, B=250, C=310, D=180, E=270. Warehouse capacities: W1=600, W2=500, W3=400. Transport cost per unit ($/unit): W1→A=2, W1→B=3, W1→C=4, W1→D=5, W1→E=6; W2→A=4, W2→B=2, W2→C=3, W2→D=3, W2→E=4; W3→A=6, W3→B=5, W3→C=2, W3→D=2, W3→E=3. Formulate this as a linear programming problem, define the objective function and all constraints explicitly, then solve using the northwest corner method as an initial feasible solution. Compute the total transport cost of your initial solution and identify which routes are most likely improvable using the MODI method. Show every step.",reasoning,CLEAR,2026-03-26 16:40:22.381343+00
301,"A pharmaceutical company is running a double-blind clinical trial for a new drug. The trial has 3 arms: Drug A, Drug B, and Placebo. After 12 weeks, success rates are: Drug A 68% (n=120), Drug B 54% (n=115), Placebo 41% (n=118). (1) Conduct a chi-square test of independence to determine whether treatment outcome is independent of group assignment. Use α=0.05. Show the contingency table, expected frequencies, chi-square statistic, degrees of freedom, and your conclusion. (2) If significance is found, perform pairwise comparisons with Bonferroni correction and state which pairs differ significantly.",reasoning,CLEAR,2026-03-26 16:40:22.67309+00
302,A structural engineer is analysing a simply supported beam of length 8 metres carrying a uniformly distributed load of 12 kN/m and a point load of 40 kN at 3 metres from the left support. (1) Calculate the reaction forces at both supports using equilibrium equations. (2) Draw the shear force diagram by computing shear values at key sections. (3) Draw the bending moment diagram and identify the location and magnitude of maximum bending moment. Show all free body diagram reasoning and sign conventions.,reasoning,CLEAR,2026-03-26 16:40:22.860153+00
303,"A hedge fund manager is evaluating two portfolios over a 5-year period. Portfolio X: annual returns of 12%, -8%, 15%, 6%, 11%. Portfolio Y: annual returns of 7%, 5%, 8%, 6%, 9%. (1) Calculate the arithmetic mean return, geometric mean return, and standard deviation of returns for each portfolio. (2) Calculate the Sharpe ratio for each assuming a risk-free rate of 3%. (3) Explain which portfolio a risk-averse investor should prefer and why the geometric mean is more informative than the arithmetic mean for multi-period returns.",reasoning,CLEAR,2026-03-26 16:40:23.046282+00
304,"A cryptography student is implementing RSA encryption manually. Choose two primes p=61 and q=53. (1) Compute n and φ(n). (2) Choose e=17 and verify it is valid. (3) Compute the private key d using the extended Euclidean algorithm, showing every step of the algorithm. (4) Encrypt the message M=65 and then decrypt the ciphertext to verify the result. (5) Explain what property of prime factorisation makes RSA secure and what class of algorithm would break it.",reasoning,CLEAR,2026-03-26 16:40:23.233071+00
305,"A supply chain analyst is solving the following assignment problem using the Hungarian algorithm. Four workers (W1–W4) are assigned to four tasks (T1–T4). Cost matrix: W1=[9,2,7,8], W2=[6,4,3,7], W3=[5,8,1,8], W4=[7,6,9,4]. (1) Apply row and column reduction. (2) Cover zeros with minimum lines. (3) Iterate until an optimal assignment is found. (4) State the optimal assignment and total minimum cost. Show every tableau step.",reasoning,CLEAR,2026-03-26 16:45:12.075508+00
306,"A data scientist is building a binary classification model. The confusion matrix on the test set is: TP=430, FP=85, FN=70, TN=915. (1) Calculate precision, recall, F1 score, accuracy, and AUC-ROC interpretation guidance. (2) The business cost of a false negative is 5× that of a false positive. Recommend whether the threshold should be adjusted up or down and explain the precision-recall trade-off. (3) Describe two techniques to address class imbalance if the positive class were only 5% of the data.",reasoning,CLEAR,2026-03-26 16:45:12.417532+00
307,"A mechanical engineer is designing a flywheel for energy storage. The flywheel is a solid disk of mass 80 kg and radius 0.6 m. It spins at 1,500 RPM. (1) Calculate the moment of inertia. (2) Calculate the angular velocity in rad/s. (3) Calculate the rotational kinetic energy stored in joules. (4) If the flywheel decelerates uniformly to rest in 45 seconds, calculate the angular deceleration and the braking torque required. Show all formulae and unit conversions.",reasoning,CLEAR,2026-03-26 16:45:12.703132+00
308,"An economist is modelling consumer demand. The demand function is Qd = 800 − 4P and the supply function is Qs = 2P − 100. (1) Find the equilibrium price and quantity algebraically. (2) Calculate price elasticity of demand at the equilibrium point. (3) The government imposes a specific tax of $15 per unit on producers. Find the new equilibrium, the price paid by consumers, the price received by producers, total tax revenue, and the deadweight loss. Draw and annotate each step in your reasoning.",reasoning,CLEAR,2026-03-26 16:45:12.909925+00
309,"A software architect is designing a distributed key-value store that must satisfy the following requirements: (1) handle 100,000 reads per second and 20,000 writes per second, (2) guarantee 99.99% uptime, (3) support horizontal scaling, (4) tolerate up to 2 simultaneous node failures, (5) maintain eventual consistency with read-your-writes guarantee for individual sessions. Design the full architecture: data partitioning strategy, replication model, consistency mechanism, failure detection, and a write path trace end-to-end. Explain every design decision and its trade-off.",reasoning,CLEAR,2026-03-26 16:45:13.126663+00
310,"A financial analyst must value a company using three methods: (1) DCF — project 5 years of free cash flows starting at $4.2M growing at 8% annually, discount at WACC of 11%, and calculate the terminal value using the Gordon Growth Model with a perpetual growth rate of 3%. (2) EV/EBITDA comparable — industry median multiple is 9x, company EBITDA is $3.8M. (3) Precedent transactions — average acquisition premium in the sector is 28% over EV/EBITDA value. Synthesise the three valuations and recommend a fair value range. Show all calculations and flag all assumptions.",reasoning,CLEAR,2026-03-26 16:47:57.925519+00
311,"A machine learning engineer is implementing backpropagation from scratch for a 2-layer neural network with: input layer 3 neurons, hidden layer 4 neurons with ReLU activation, output layer 1 neuron with sigmoid activation, binary cross-entropy loss. (1) Write out the forward pass equations symbolically. (2) Derive the gradient of the loss with respect to the output layer weights using the chain rule. (3) Derive the gradient with respect to the hidden layer weights including the ReLU derivative. (4) Explain the vanishing gradient problem and why ReLU partially addresses it.",reasoning,CLEAR,2026-03-26 16:47:58.218336+00
312,"A game theorist is analysing a 3-player simultaneous game. Players A, B, C each choose either Cooperate (C) or Defect (D). Payoffs are: if all cooperate: (4,4,4). If one defects while two cooperate: defector gets 6, cooperators get 1 each. If two defect while one cooperates: defectors get 3 each, cooperator gets 0. If all defect: (2,2,2). (1) Find all pure strategy Nash equilibria. (2) Explain whether this is a prisoner's dilemma structure. (3) Discuss what mechanism could sustain the cooperative outcome and why repeated interaction changes the analysis.",reasoning,CLEAR,2026-03-26 16:47:58.483339+00
313,"A chemical engineer is designing a reactor for a first-order irreversible reaction A→B. The rate constant k=0.35 min⁻¹. Feed concentration CA0=2.0 mol/L. Target conversion X=0.92. (1) Calculate the required volume for a CSTR (continuous stirred tank reactor). (2) Calculate the required volume for a PFR (plug flow reactor). (3) Compare the two volumes and explain why a PFR is more efficient for this reaction order. (4) If two equal-volume CSTRs are placed in series, what conversion is achieved? Volumetric flow rate = 5 L/min.",reasoning,CLEAR,2026-03-26 16:47:58.763733+00
314,"An operations researcher is applying the simplex method to the following LP problem. Maximise Z = 5x₁ + 4x₂ subject to: 6x₁ + 4x₂ ≤ 24, x₁ + 2x₂ ≤ 6, x₁ ≥ 0, x₂ ≥ 0. (1) Convert to standard form with slack variables. (2) Set up the initial simplex tableau. (3) Perform all pivot operations showing entering and leaving variables at each iteration. (4) State the optimal solution and value of Z. (5) Interpret the shadow prices of the binding constraints.",reasoning,CLEAR,2026-03-26 16:47:58.983311+00
315,Create message about meeting change,text-generation,PARTIAL,2026-03-26 16:48:43.063134+00
316,Write guide for event,text-generation,PARTIAL,2026-03-26 16:48:43.856074+00
317,Generate comparison of apps,text-generation,PARTIAL,2026-03-26 16:48:44.351981+00
318,Write about stress,text-generation,PARTIAL,2026-03-26 16:48:44.779815+00
319,Create invitation message,text-generation,PARTIAL,2026-03-26 16:48:45.275649+00
320,"A network engineer needs to find the shortest path in a weighted directed graph with 7 nodes (A–G) and the following edges: A→B=4, A→C=2, B→D=5, B→C=1, C→B=1, C→D=8, C→E=10, D→E=2, D→F=6, E→G=3, F→G=1. (1) Apply Dijkstra's algorithm from node A, showing the distance table updated at every step. (2) State the shortest path to every node and the path to G explicitly. (3) Identify which edge, if its weight were doubled, would most increase the shortest path from A to G.",reasoning,CLEAR,2026-03-26 16:51:17.475795+00
321,"A public health epidemiologist is modelling an infectious disease using the SIR model. Initial population N=100,000. S₀=99,900, I₀=100, R₀=0. Transmission rate β=0.3 per day, recovery rate γ=0.1 per day. (1) Calculate the basic reproduction number R₀. (2) Using Euler's method with Δt=1 day, simulate the first 5 days showing S, I, R values each day. (3) Predict the peak infected population and the day it occurs qualitatively. (4) Calculate the herd immunity threshold and explain its policy implication.",reasoning,CLEAR,2026-03-26 16:51:17.653494+00
322,"A quant analyst is pricing a European call option using the Black-Scholes model. Parameters: S=150, K=145, T=0.5 years, r=0.05, σ=0.25. (1) Calculate d₁ and d₂. (2) Look up or approximate N(d₁) and N(d₂) using the standard normal distribution. (3) Calculate the call option price. (4) Calculate the option's delta and explain what it means for hedging. (5) Explain how the price changes if volatility increases to 0.35 and what that implies about vega.",reasoning,CLEAR,2026-03-26 16:51:17.832347+00
323,A control systems engineer is analysing a closed-loop feedback system with open-loop transfer function G(s) = 10 / [s(s+2)(s+5)]. (1) Find the poles of the open-loop system. (2) Apply the Routh-Hurwitz criterion to determine the range of gain K for which the closed-loop system is stable. (3) Sketch the approximate root locus showing departure from poles and arrival at zeros. (4) Determine the gain margin and explain its physical meaning for this system.,reasoning,CLEAR,2026-03-26 16:51:18.032069+00
324,"A statistician is analysing a dataset to test whether the mean of a population differs from a hypothesised value. Sample: n=36, x̄=74.2, s=9.6, hypothesised μ₀=71. (1) Conduct a two-tailed t-test at α=0.05. State H₀ and H₁, compute the t-statistic, find the critical value, and state your conclusion. (2) Calculate the 95% confidence interval for the true mean. (3) Calculate the p-value and explain what it means. (4) Compute the required sample size to detect a true difference of 3 units with 80% power at α=0.05.",reasoning,CLEAR,2026-03-26 16:51:18.260208+00
325,"A thermodynamics engineer analyses a Carnot cycle. The working fluid operates between a high-temperature reservoir at 600K and a low-temperature reservoir at 300K. The heat absorbed from the hot reservoir is 800 kJ. (1) Calculate the maximum theoretical efficiency. (2) Calculate the work output and heat rejected. (3) If the actual cycle efficiency is 38%, calculate the irreversibility (exergy destruction) per cycle. (4) Explain why no real engine can exceed Carnot efficiency and connect your answer to the second law of thermodynamics.",reasoning,CLEAR,2026-03-26 16:54:32.524406+00
326,"A compiler engineer is implementing a recursive descent parser. The grammar is: E → T (('+' | '-') T)*, T → F (('*' | '/') F)*, F → '(' E ')' | NUMBER. (1) Write the parse functions for E, T, and F in pseudocode handling left associativity correctly. (2) Trace the parse tree for the expression: 3 + 4 * (2 - 1). (3) Explain how operator precedence is encoded in the grammar structure itself. (4) Describe one ambiguity that would arise if E were defined as E → E '+' E instead.",reasoning,CLEAR,2026-03-26 16:54:32.738272+00
327,"A corporate strategist is applying Porter's Five Forces and a VRIO framework simultaneously to a mid-sized cloud security SaaS company with $45M ARR, 89% gross margins, high customer switching costs due to deep API integrations, and a patent portfolio of 14 active patents. (1) Score each of Porter's Five Forces as low/medium/high with a 3-sentence justification for each. (2) Apply the VRIO framework to 4 company resources and classify each as competitive parity, temporary advantage, or sustained advantage. (3) Synthesise a strategic position statement and identify the single highest-priority threat.",reasoning,CLEAR,2026-03-26 16:54:32.9463+00
328,"A signal processing engineer is analysing a discrete-time signal x[n] = cos(0.2πn) + 0.5·sin(0.6πn). (1) Identify the frequencies of each component in normalised form and in Hz if the sampling rate is 1000 Hz. (2) Determine the Nyquist frequency and confirm no aliasing occurs. (3) Design a simple FIR low-pass filter that would pass the first component and attenuate the second. Specify the cutoff frequency and explain the window method conceptually. (4) Show what the DFT magnitude spectrum would look like qualitatively, identifying peak locations.",reasoning,CLEAR,2026-03-26 16:54:33.151987+00
329,"A supply chain manager models demand using a normal distribution with μ=500 units/week and σ=60 units/week. Lead time is 2 weeks (constant). The holding cost is $2/unit/week and the stockout cost is $25/unit. (1) Calculate the reorder point for a 95% service level. (2) Calculate the safety stock. (3) Calculate the economic order quantity (EOQ) if ordering cost is $150 per order and annual demand is 26,000 units. (4) Determine the reorder point when lead time itself is also variable with mean 2 weeks and standard deviation 0.5 weeks.",reasoning,CLEAR,2026-03-26 16:54:33.349203+00
330,A machine learning researcher is comparing L1 (Lasso) and L2 (Ridge) regularisation on a high-dimensional linear regression problem with 500 features and 200 training samples. (1) Write the optimisation objective for both. (2) Explain geometrically why L1 produces sparse solutions and L2 does not. (3) Derive the closed-form solution for Ridge regression. (4) Describe two scenarios — one where L1 is preferred and one where L2 is preferred — with reasoning. (5) Explain what elastic net combines from both and when it is preferred over either alone.,reasoning,CLEAR,2026-03-26 16:56:33.477323+00
331,"An environmental engineer is designing a water treatment plant. Influent flow rate: 15,000 m³/day. BOD influent: 250 mg/L, target effluent BOD: 20 mg/L. (1) Calculate the BOD removal efficiency required. (2) Size a completely mixed activated sludge reactor using the following parameters: μmax=0.3 day⁻¹, Ks=60 mg/L, Y=0.5, kd=0.05 day⁻¹. Calculate the minimum SRT and the design SRT at a safety factor of 2.5. (3) Calculate the reactor volume. (4) Calculate the daily sludge production in kg VSS/day. Show all biological kinetics equations.",reasoning,CLEAR,2026-03-26 16:56:33.66853+00
332,"A cryptanalyst is analysing a ciphertext encrypted with a Vigenère cipher. The ciphertext is 400 characters long. (1) Describe the Index of Coincidence method step by step to determine the likely key length. (2) Once key length L is determined, explain how frequency analysis on every L-th character recovers each key byte. (3) If the key length is found to be 4, describe the chi-squared statistic calculation used to match each shifted alphabet to English letter frequencies. (4) Explain why the Vigenère cipher was considered unbreakable for centuries and what mathematical insight broke it.",reasoning,CLEAR,2026-03-26 16:56:33.84916+00
333,"A portfolio manager must construct a minimum-variance portfolio from 3 assets. Expected returns: μ₁=8%, μ₂=12%, μ₃=10%. Standard deviations: σ₁=15%, σ₂=22%, σ₃=18%. Correlation matrix: ρ₁₂=0.3, ρ₁₃=0.5, ρ₂₃=0.1. (1) Construct the covariance matrix. (2) Write the Lagrangian for the minimum variance portfolio with weights summing to 1. (3) Solve the system of equations for the optimal weights. (4) Calculate the portfolio variance and standard deviation. (5) Explain how adding a fourth uncorrelated asset would change the efficient frontier.",reasoning,CLEAR,2026-03-26 16:56:34.025893+00
334,"A robotics engineer is programming a path-planning algorithm for a robot in a 2D grid with obstacles. The grid is 10×10. The robot starts at (0,0) and must reach (9,9). Obstacles occupy cells: (2,3), (3,3), (4,3), (5,5), (5,6), (7,2), (7,3). (1) Apply the A* algorithm using Manhattan distance as the heuristic. Trace the open and closed sets for the first 6 iterations. (2) Compare A* with Dijkstra's algorithm for this problem — when does each perform better? (3) Explain what makes the Manhattan distance heuristic admissible in this context.",reasoning,CLEAR,2026-03-26 16:56:34.197874+00
335,Write an email about misunderstanding,text-generation,PARTIAL,2026-03-26 16:56:59.238549+00
336,Create a report comparing strategies,text-generation,PARTIAL,2026-03-26 16:56:59.478173+00
337,Write a guide for interview,text-generation,PARTIAL,2026-03-26 16:56:59.80985+00
338,Generate article about exercise,text-generation,PARTIAL,2026-03-26 16:57:00.128385+00
339,Write about communication,text-generation,PARTIAL,2026-03-26 16:57:00.44457+00
340,"A quantum computing researcher is explaining Shor's algorithm to a technical audience. (1) Explain the integer factorisation problem and its classical hardness. (2) Describe the quantum period-finding subroutine and how the Quantum Fourier Transform (QFT) is applied. (3) Explain how the period r of f(x) = aˣ mod N is used to find a non-trivial factor of N. (4) Walk through the algorithm for N=15, a=7, showing the steps where classical and quantum parts are used. (5) State the implications for RSA encryption and what post-quantum cryptography approaches address this.",reasoning,CLEAR,2026-03-26 17:01:00.931653+00
341,"A civil engineer is designing a retaining wall to hold back a soil mass. Soil properties: unit weight γ=18 kN/m³, angle of internal friction φ=30°, cohesion c=0. Wall height H=5m. (1) Calculate the active earth pressure coefficient Ka using Rankine's theory. (2) Compute the total active thrust per unit length and its point of application. (3) Check the factor of safety against sliding assuming the base friction angle δ=25° and the wall self-weight is 120 kN/m. (4) Check the factor of safety against overturning about the toe. Show all moment arms.",reasoning,CLEAR,2026-03-26 17:01:01.154321+00
342,"A natural language processing engineer is designing a transformer-based text classification system for legal documents. The system must classify 8 document types with imbalanced class distribution (smallest class: 1.2%, largest: 34%). (1) Describe the full fine-tuning pipeline from pre-trained BERT including tokenisation, special tokens, and classification head. (2) Propose and justify a loss function that handles class imbalance. (3) Define 4 evaluation metrics appropriate for this imbalanced multi-class problem and explain what each measures. (4) Describe 3 strategies to prevent overfitting given only 2,400 labelled training examples.",reasoning,CLEAR,2026-03-26 17:01:01.412497+00
343,"A macroeconomist is modelling the impact of a fiscal stimulus of $200 billion injected into an economy where the marginal propensity to consume (MPC) is 0.75. (1) Calculate the fiscal multiplier and the total change in GDP. (2) Now introduce a tax rate of 20% and a marginal propensity to import of 0.1. Recalculate the multiplier. (3) If the money supply is held constant, explain the crowding-out effect using the IS-LM framework. (4) Compare the effectiveness of fiscal vs monetary policy in a liquidity trap scenario, using the IS-LM diagram logic.",reasoning,CLEAR,2026-03-26 17:01:01.591408+00
344,A security researcher is analysing a buffer overflow vulnerability in a C program. The vulnerable function copies user input into a fixed-size stack buffer without bounds checking. (1) Explain step by step how a stack-based buffer overflow can overwrite the return address. (2) Describe how a return-to-libc attack works as a non-executable stack bypass. (3) Explain Address Space Layout Randomisation (ASLR) and stack canaries as mitigations and their limitations. (4) Write pseudocode for a safe version of the vulnerable function using bounded copy and explain each defensive measure.,reasoning,CLEAR,2026-03-26 17:01:01.763826+00
345,Create a message explaining rescheduling of a meeting with reasons,text-generation,PARTIAL,2026-03-26 17:01:44.854373+00
346,Write a structured guide for organizing a small event,text-generation,PARTIAL,2026-03-26 17:01:45.788928+00
347,Generate a comparison between two apps based on usability,text-generation,PARTIAL,2026-03-26 17:01:46.668447+00
348,Write a paragraph explaining stress and its management techniques,text-generation,CLEAR,2026-03-26 17:01:47.604239+00
349,Create a professional invitation message for an event,text-generation,PARTIAL,2026-03-26 17:01:48.317488+00
350,"A startup is growing fast but the unit economics seem off. Figure out what's going wrong and model a path to profitability. The company has a SaaS product, around 3,000 customers, and is spending heavily on paid acquisition. Use whatever financial reasoning frameworks are appropriate and show your working.",reasoning,CLEAR,2026-03-26 17:03:23.492443+00
351,"Analyse the trade-offs in this system design. We have high read volume, some writes, and need it to stay up. We've been debating SQL vs NoSQL and monolith vs microservices. Walk through the reasoning and give a recommendation with the key assumptions stated.",reasoning,CLEAR,2026-03-26 17:03:23.703004+00
352,"A government wants to reduce carbon emissions by 40% in 10 years. Reason through which combination of policy interventions would most efficiently achieve this. Consider economic, behavioural, and structural factors. Flag where your reasoning depends on assumptions that could change the conclusion.",reasoning,CLEAR,2026-03-26 17:03:23.881862+00
353,"We're seeing declining user retention after week 3 of our mobile app. Could be onboarding, could be product-market fit, could be notifications. Reason through a diagnostic framework to identify the most likely cause given typical patterns in consumer apps, and outline what data would confirm each hypothesis.",reasoning,CLEAR,2026-03-26 17:03:24.080504+00
354,"A country is deciding whether to adopt a four-day working week nationally. Reason through the economic and social implications from multiple angles — productivity, GDP, employment, wellbeing, and business competitiveness — and arrive at a structured conclusion. State where evidence is weak or contested.",reasoning,CLEAR,2026-03-26 17:03:24.270562+00
355,An investor wants to understand whether a mid-size logistics company is a good acquisition target. There's decent revenue but margins are thin and the market is getting more competitive. Apply whatever valuation and strategic reasoning you think is appropriate and highlight the 3 most important uncertainties.,reasoning,PARTIAL,2026-03-26 17:05:50.479361+00
356,"A hospital system is experiencing increasing patient wait times in the emergency department. The causes are unclear but could involve staffing, patient flow, or demand patterns. Reason through the most likely drivers systematically and propose a prioritised investigation approach, flagging where you need more data.",reasoning,PARTIAL,2026-03-26 17:05:50.806439+00
357,"Something's wrong with our recommendation algorithm — engagement is up but users say they feel worse after using the app. Reason through the possible explanations for why optimising for engagement could decouple from user satisfaction, and propose a framework for redefining what the algorithm should optimise for.",reasoning,PARTIAL,2026-03-26 17:05:51.000187+00
358,"A fast-growing tech company is deciding whether to expand into Southeast Asia or Latin America first. Reason through the market entry decision using whatever strategic framework fits best. Make your criteria explicit, apply them to both regions, and give a recommendation with the key risk that could invalidate it.",reasoning,CLEAR,2026-03-26 17:05:51.415043+00
359,We have two competing architectural approaches for migrating our monolith: strangler fig pattern over 18 months vs a big-bang rewrite in 9 months. The team is split. Reason through the technical and organisational trade-offs rigorously and give a recommendation. Be explicit about what information would change your answer.,reasoning,CLEAR,2026-03-26 17:05:51.609744+00
360,Write a structured email explaining a misunderstanding in a project and how it will be resolved,text-generation,PARTIAL,2026-03-26 17:06:39.42576+00
361,Create a report comparing two business strategies with clear pros and cons,text-generation,PARTIAL,2026-03-26 17:06:40.057602+00
362,Write a guide on preparing for an interview including steps and tips,text-generation,CLEAR,2026-03-26 17:06:42.771982+00
363,Generate an article explaining benefits of regular exercise with examples,text-generation,CLEAR,2026-03-26 17:06:44.329986+00
364,Write a detailed explanation of communication skills in teamwork,text-generation,CLEAR,2026-03-26 17:06:45.550309+00
365,Make the model better. It's not performing well and we need to fix it.,reasoning,UNCLEAR,2026-03-26 17:07:49.894769+00
366,Something about risk and returns. Figure it out and give the right answer with reasoning.,reasoning,UNCLEAR,2026-03-26 17:07:50.073452+00
367,The numbers don't add up. Use logic to work out what went wrong.,reasoning,UNCLEAR,2026-03-26 17:07:50.311794+00
368,Reason through whether this is a good idea or not.,reasoning,UNCLEAR,2026-03-26 17:07:50.510951+00
369,Analyse the situation and tell me what to do next.,reasoning,UNCLEAR,2026-03-26 17:07:50.705278+00
370,Create an article about internet,text-generation,PARTIAL,2026-03-26 17:09:49.048952+00
371,Write about teamwork,text-generation,PARTIAL,2026-03-26 17:09:49.364231+00
372,Generate a scenario about problems,text-generation,UNCLEAR,2026-03-26 17:09:49.691346+00
373,Write about social media,text-generation,PARTIAL,2026-03-26 17:09:50.051502+00
374,Create something about time,text-generation,UNCLEAR,2026-03-26 17:09:50.386752+00
375,Write something about project delays,text-generation,PARTIAL,2026-03-26 17:15:10.252486+00
376,Create a report about apps,text-generation,PARTIAL,2026-03-26 17:15:10.635004+00
377,Write a guide about studying,text-generation,PARTIAL,2026-03-26 17:15:10.888546+00
378,Generate comparison of things,text-generation,UNCLEAR,2026-03-26 17:15:11.169869+00
379,Write a message about feedback,text-generation,PARTIAL,2026-03-26 17:15:11.572566+00
380,Create an article about privacy online,text-generation,PARTIAL,2026-03-26 17:21:17.926486+00
381,Write an explanation of teamwork benefits,text-generation,PARTIAL,2026-03-26 17:21:18.2918+00
382,Generate a scenario about handling complaints,text-generation,PARTIAL,2026-03-26 17:21:18.647448+00
383,Write about social media impact,text-generation,PARTIAL,2026-03-26 17:21:18.943014+00
384,Create a guide for managing time,text-generation,PARTIAL,2026-03-26 17:21:19.194753+00
385,Write an email asking for deadline extension with reasons,text-generation,PARTIAL,2026-03-26 17:27:12.848028+00
386,Create a report about why app users are reducing,text-generation,PARTIAL,2026-03-26 17:27:13.277699+00
387,Write a guide on studying better,text-generation,PARTIAL,2026-03-26 17:27:13.72469+00
388,Generate a comparison between two learning methods,text-generation,PARTIAL,2026-03-26 17:27:13.986307+00
389,Write a message asking for feedback,text-generation,PARTIAL,2026-03-26 17:27:14.212892+00
