prompt,complexity
Write a product description for an imaginary gadget. Include the problem it solves 3 features and a price.,low
Explain how regular physical exercise benefits mental health. Include 3 specific benefits.,low
List 5 time management techniques and explain how each one helps reduce procrastination.,mid
Act as a strategy consultant. The situation is a retail business is losing market share to online competitors. Your goal is to analyse the problem and recommend a turnaround plan. Format it as diagnosis options and execution plan.,mid
Act as a logistics strategist. The situation is global shipping routes are disrupted. Your goal is to redesign routes minimizing cost and delay under uncertainty.,mid
Act as a product strategist. The situation is a social media app is losing engagement. Your goal is to identify root causes and propose new features and improvements.,mid
Compare physical health and mental health. Include 2 ways each affects overall well-being.,mid
Act as a policy advisor. The situation is urban housing demand is rising rapidly. Your goal is to design policy interventions balancing affordability and sustainability. Format it as analysis options and recommendations.,mid
what makes a good business i guess,low
Act as a machine learning auditor. The situation is a model shows high accuracy but fails in real-world scenarios. Your goal is to identify hidden biases and failure points.,mid
data inconsistent and results wrong figure out issue step by step,mid
"Act as an email marketing specialist. The situation is we run a weekly wellness newsletter for 10,000 subscribers who are interested in mental health and productivity. Your goal is to write this week's newsletter on the topic of micro-breaks and focus. Make it under 280 words, use a friendly and science-backed tone, and format it with a subject line, 3 short sections, and a footer CTA.",mid
Act as a senior business development consultant. The situation is we are a UX research agency pitching a discovery project to a retail bank. Your goal is to write a persuasive proposal. Make it focused on the client problem and format it as problem statement solution scope timeline investment expected results and next step.,mid
give me some blog topic ideas about food,low
A country is facing both high inflation and high unemployment simultaneously. Analyse the situation using economic reasoning and suggest policy actions with expected consequences.,high
Explain what data privacy means and list 3 ethical responsibilities companies have towards user data.,mid
Act as a strategic philosopher. The situation is an AI system must choose between maximizing efficiency and preserving fairness across users. Your goal is to design a decision framework handling ethical trade-offs and unintended consequences.,high
Act as a financial analyst. The situation is declining profits despite stable revenue. Your goal is to identify causes and suggest corrective actions.,mid
Act as a customer support analyst. The situation is repeated complaints about slow service. Your goal is to identify possible causes and suggest solutions.,mid
Act as a research assistant. The situation is we need a quick overview of how social media affects teenagers. Your goal is to summarise key impacts in simple terms. Make it easy to understand and format it as a short summary followed by key points.,mid
Compare qualitative and quantitative research methods. Include 2 strengths and 1 weakness for each.,mid
List 4 qualities of an effective business leader with a brief example of how each helps in a real scenario.,mid
Act as a UX strategist. The situation is users are dropping off from an app quickly. Your goal is to analyse behavior and propose design improvements. Format it as insights problems and solutions.,mid
is ai ethical,low
Write a conclusion paragraph for a blog post about the benefits of reading daily. Summarise 3 key points.,mid
Write a 3-sentence blog introduction explaining why sleep is important for productivity. Include one surprising fact.,low
Act as a hiring specialist. The situation is we are recruiting for a product designer role. Your goal is to write a clear job description with responsibilities skills and company culture.,mid
Explain the advantages and disadvantages of online learning for students.,mid
Describe 3 impacts of social media on teenagers' mental health. Include 1 positive and 2 negative impacts.,mid
compare marketing types,low
Act as a product analyst. The situation is we are reviewing user feedback for a mobile fitness app to improve engagement. Your goal is to identify common user concerns and suggest improvements. Make it clear and structured and format it as key issues followed by suggested actions.,mid
Explain what inflation means for everyday consumers and give 2 examples of how it affects purchasing power.,mid
List 3 common reasons startups fail in their first year and suggest one way to avoid each.,mid
List 4 consequences of deforestation and explain one solution for each.,mid
how to make a good classroom i think,low
what is a hypothesis,low
Act as a meeting assistant. The situation is a product roadmap discussion happened recently. Your goal is to summarise key decisions action items and open questions clearly.,mid
Act as a senior content writer for a SaaS company launching a project management tool for remote teams. Your goal is to write a blog post that highlights how async work reduces unnecessary meetings. Make it structured with an engaging intro three sections and a clear call to action.,mid
how do companies hire people,low
Create a short dialogue between two characters with opposite views on social media. Include at least 4 exchanges.,mid
Act as a screenwriter. The situation is we are creating a psychological thriller about a whistleblower who harms the wrong person. Your goal is to create a story outline. Format it as logline three act structure characters conflict twist and resolution.,mid
tell me about exercise and health,low
Explain the difference between formative and summative assessment. Give one example of each.,low
list some emerging tech stuff thats gonna be big,low
Act as an email marketing specialist for a wellness brand. Your goal is to write a weekly newsletter about micro breaks and focus. Make it concise friendly and structured with a subject line short sections and a closing call to action.,mid
compare city and village life or something,low
Compare renewable and non-renewable energy sources. Include 2 advantages and 1 disadvantage for each.,mid
explain critical thinking with examples,low
Act as a business consultant. The situation is we need to pitch a project to a client. Your goal is to create a structured proposal with problem solution scope timeline and expected outcome.,mid
